trajectory,inter,intra,dissociation time
454,8.320161687,161.8546819,3.159999929
455,8.406982845,162.3716512,2.039999954
456,15.41062745,155.5834596,0.639999986
457,9.923317084,160.001644,1.159999974
458,8.017288206,162.3681344,0.589999987
459,8.957112938,161.602416,1.989999956
460,15.69935482,154.9361973,1.189999973
461,13.16378227,157.1049178,1.839999959
462,19.44845075,151.0337527,0.729999984
463,26.25738999,143.6531951,1.819999959
464,19.45957641,151.1476912,0.929999979
465,16.08835182,154.6534811,0.649999986
466,8.113282773,162.4832166,1.149999974
467,9.826363545,160.918356,1.429999968
468,14.98712209,155.0091065,6.679999851
469,8.267847748,162.82,0.739999984
470,6.81310579,163.8138242,1.579999965
471,18.15251079,152.4013581,0.659999985
472,11.64589578,158.1074911,1.669999963
473,13.36327019,157.4177984,2.389999947
474,12.92727991,157.7505218,1.259999972
475,11.78428606,158.690193,0.869999981
476,8.768106791,161.7612437,3.789999915
477,9.038054753,160.9191279,1.149999974
478,14.55813395,156.0694353,0.819999982
479,7.746384132,162.9474911,1.959999956
480,8.626027591,161.8084203,3.519999921
481,10.81369993,159.8524803,3.719999917
482,9.239651322,161.5041744,3.109999931
483,13.00231351,156.4215726,0.509999989
484,15.42573024,154.7600715,1.709999962
485,9.735009149,159.8858756,1.059999976
486,13.8485534,156.795268,1.80999996
487,19.15913038,151.5805147,0.969999978
488,3.809800858,166.8297498,3.299999926
489,10.87356955,159.6062473,2.619999941
490,1.987473767,168.6623731,4.249999905
491,6.232613152,163.7878342,2.66999994
492,12.78862144,157.6159971,7.15999984
493,7.938799285,162.7160972,1.389999969
494,6.268043888,163.798842,1.909999957
495,16.60638442,153.9382559,1.519999966
496,11.82144832,157.7022588,0.939999979
497,19.05977312,151.9204146,1.549999965
498,11.98779171,158.2547391,0.969999978
499,13.31065547,156.7457756,1.089999976
500,8.082400143,162.8867334,2.21999995
501,7.192004432,163.0209435,1.039999977
502,15.00610765,156.0260901,0.87999998
503,8.341059757,162.5863474,0.969999978
504,14.23782916,155.6251465,2.809999937
505,14.70549635,155.6797856,1.179999974
506,8.670700357,161.3733381,0.779999983
507,11.06032695,159.5478914,1.249999972
508,19.73416741,151.0725232,2.809999937
509,15.2451604,155.5972123,0.769999983
510,8.576551108,162.2425018,1.009999977
511,7.491769693,162.5283917,1.379999969
512,12.85634811,157.6094496,1.099999975
513,12.83537484,157.8006147,2.089999953
514,6.204904789,164.8449035,2.149999952
515,11.33357069,158.7334811,1.119999975
516,20.11847248,150.6196569,1.629999964
517,7.716334096,162.5497498,3.099999931
518,6.787669907,163.9459185,0.739999984
519,14.11065175,156.9132094,2.66999994
520,8.089049178,162.6419014,1.589999965
521,10.0378446,160.2060472,1.729999961
522,5.586324946,164.9598999,1.379999969
523,13.31676926,156.8870193,3.819999915
524,12.11211994,158.8478199,0.769999983
525,9.881727091,160.435268,1.279999971
526,4.471243031,165.9971837,1.029999977
527,8.157171265,162.4630021,1.849999959
528,3.401217584,166.9466333,13.64999969
529,13.76589664,156.8406147,1.689999962
530,7.801880915,161.465604,1.649999963
531,8.357153824,162.3941244,0.949999979
532,17.53999214,153.3566976,1.659999963
533,12.89247877,157.0713796,1.649999963
534,12.44426004,158.3670193,1.479999967
535,8.552435025,161.6505933,0.699999984
536,26.44386204,143.3234453,0.649999986
537,17.83533338,152.629178,0.559999988
538,5.060172838,164.7185275,1.419999968
539,12.00854339,157.7444317,1.479999967
540,18.48375054,152.1142673,1.299999971
541,10.50040386,159.8154825,1.739999961
542,16.31088306,153.6431308,2.859999936
543,6.611144961,163.8246033,0.979999978
544,17.53142402,152.9107791,0.869999981
545,10.70898942,159.658742,0.849999981
546,12.44543746,158.4407577,1.529999966
547,10.490202,160.1154968,1.899999958
548,9.91257198,160.5125232,1.33999997
