trajectory,inter energy,intra energy,dissociation time
1427,13.398,205.908,11.98999973
1428,27.121,192.409,0.749999983
1429,16.2,203.329,1.969999956
1430,21.938,197.721,0.649999986
1431,24.966,194.596,0.859999981
1432,14.519,205.116,1.279999971
1433,11.069,208.638,0.959999978
1434,18.373,201.298,1.039999977
1435,18.404,201.311,2.959999934
1436,10.98,208.564,7.579999831
1437,13.909,205.437,4.609999897
1438,16.255,203.281,1.469999967
1439,40.524,179.168,1.299999971
1440,16.9,202.614,1.32999997
1441,11.735,207.61,9.049999798
1442,15.09,204.36,1.299999971
1443,20.624,198.688,2.839999936
1444,22.778,196.78,0.959999978
1445,21.172,198.239,1.829999959
1446,21.194,198.144,15.69999965
1447,9.831,209.848,4.809999892
1448,19.562,199.874,1.569999965
1449,6.673,213.036,4.239999905
1450,12.971,206.33,1.609999964
1451,24.009,195.342,0.849999981
1452,23.127,196.481,0.809999982
1453,22.536,196.857,0.90999998
1454,11.34,208.147,1.609999964
1455,15.265,204.246,1.369999969
1456,17.348,202.411,5.519999877
1457,25.923,193.549,1.049999977
1458,14.224,205.474,3.329999926
1459,20.7,198.843,0.959999978
1460,22.641,197.131,5.149999885
1461,21.865,197.79,0.939999979
1462,20.597,199.014,1.099999975
1463,23.687,195.628,1.419999968
1464,15.01,204.81,1.319999971
1465,13.181,206.433,1.589999965
1466,12.733,207.074,9.169999795
1467,12.979,206.792,3.259999927
1468,11.813,207.95,1.579999965
1469,14.338,205.304,13.10999971
1470,16.757,202.636,1.289999971
1471,23.128,196.187,1.239999972
1472,9.336,210.235,7.719999827
1473,8.037,211.437,18.42999959
1474,11.359,207.902,2.649999941
1475,26.793,192.989,0.779999983
1476,22.019,197.72,0.969999978
1477,14.264,205.195,1.459999967
1478,24.138,195.174,0.90999998
1479,17.609,202.128,1.369999969
1480,21.848,197.96,1.259999972
1481,11.304,208.005,2.529999944
1482,18.955,200.533,1.139999975
1483,15.332,204.269,2.469999945
1484,13.778,205.881,0.759999983
1485,31.004,188.35,0.979999978
1486,24.769,194.723,0.869999981
1487,15.848,203.452,1.479999967
1488,16.784,202.838,1.309999971
1489,31.572,187.93,1.069999976
1490,10.907,208.794,0.89999998
1491,14.721,204.954,2.069999954
1492,21.311,198.082,3.749999916
1493,10.991,208.764,1.059999976
1494,22.85,196.516,1.859999958
1495,28.815,190.764,0.689999985
1496,27.526,192.049,0.859999981
1497,23.545,196.263,0.929999979
1498,6.181,213.3,2.209999951
1499,13.406,205.947,1.169999974
1500,2.192,217.221,13.89999969
